unique_id,vendor_id,alias,label,tooltip,description,pricing_description,pricing,active,priority,opacity,rgb,metadata,clipart_image_url,production_image_url,define_color,rgb_swatch_color,define_swatch,swatch_key,facet_Application Type,facet_Arc Match,facet_Article Number Filter,facet_Color,facet_Color Group,facet_Component,facet_Configurator Family,facet_Graphic 1 White Bolean,facet_Graphic Color Count,facet_Graphic Placement,facet_Image View Name,facet_P13N Location,facet_P13N Size,price_USD
,print_off,Graphic - No Graphic - Court Mode,No Graphic,No Graphic,,,,TRUE,10,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,,,,,,
,geodots,Graphic - Geodots - Court Mode,Geodots,Geodots,,,,TRUE,20,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1,,,,,
,fadeaway,Graphic - Fadeaway - Court Mode,Fadeaway,Fadeaway,,,,TRUE,30,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1,,,,,
,court,Graphic - Court - Court Mode,Court,Court,,,,TRUE,40,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1,,,,,
,shatter,Graphic - Shatter - Court Mode,Shatter,Shatter,,,,TRUE,50,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1,,,,,
,geode_camo,Graphic - Geode Camo - Court Mode,Geode Camo,Geode Camo,,,,TRUE,60,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1,,,,,
,zone,Graphic - Zone - Court Mode,Zone,Zone,,,,TRUE,70,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1,,,,,
,crossover,Graphic - Crossover - Court Mode,Crossover,Crossover,,,,TRUE,80,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1,,,,,
,pin_stripes,Graphic - Pin Stripes - Court Mode,Pin Stripes,Pin Stripes,,,,TRUE,90,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1,,,,,
,euro_step,Graphic - Euro Step - Court Mode,Euro Step,Euro Step,,,,TRUE,100,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1,,,,,
,stripes,Graphic - Stripes - Court Mode,Stripes,Stripes,,,,TRUE,110,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1,,,,,
,3_4_stripes,Graphic - 3/4 Stripes - Court Mode,3/4 Stripes,3/4 Stripes,,,,TRUE,110,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1,,,,,
,geometric_repeat,Graphic - Geometric Repeat - Court Mode,Geometric Repeat,Geometric Repeat,,,,TRUE,120,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1,,,,,
,animal_print,Graphic - Animal Print - Court Mode,Animal Print,Animal Print,,,,TRUE,130,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1,,,,,
,checker,Graphic - Checker - Court Mode,Checker,Checker,,,,TRUE,140,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1,,,,,
,desert_camo,Graphic - Desert Camo - Court Mode,Desert Camo,Desert Camo,,,,TRUE,150,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1;2,,,,,
,petrified_wood,Graphic - Petrified Wood - Court Mode,Petrified Wood,Petrified Wood,,,,TRUE,160,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1;2,,,,,
,kamanda_repeat,Graphic - Kamanda Repeat - Court Mode,Kamanda Repeat,Kamanda Repeat,,,,TRUE,170,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1;2,,,,,
,tiger_camo,Graphic - Tiger Camo - Court Mode,Tiger Camo,Tiger Camo,,,,TRUE,180,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,Off,1;2;3,,,,,
,gradient,Graphic - Gradient - Court Mode,Gradient,Gradient,,,,TRUE,190,1,#000000,,,,FALSE,,TEMPLATE,,,,,,,Graphic,Court Mode,On,1,All,,,,
,side_panel_graphic,Graphic Placement - Side Panel - Court Mode,Side Panel,Side Panel,,,,TRUE,10,1,#000000,,,,FALSE,,NO_DEFINED,,,,,,,Graphic Placement,Court Mode,,,Side,,,,
,front_back_graphic,Graphic Placement - Front & Back - Court Mode,Front & Back,Front & Back,,,,TRUE,20,1,#000000,,,,FALSE,,NO_DEFINED,,,,,,,Graphic Placement,Court Mode,,,FrontBack,,,,
,all_over_graphic,Graphic Placement - All Over Graphic - Court Mode,All Over Graphic,All Over Graphic,,,,TRUE,30,1,#000000,,,,FALSE,,NO_DEFINED,,,,,,,Graphic Placement,Court Mode,,,All,,,,
,logo_right,Logo Placement - Right Chest - Court Mode,Right Chest,Right Chest,,,,TRUE,10,1,#000000,,,,FALSE,,NO_DEFINED,,,,,,,Logo Placement,Court Mode,,,,,,,
,logo_center,Logo Placement - Center Chest - Court Mode,Center Chest,Center Chest,,,,TRUE,20,1,#000000,,,,FALSE,,NO_DEFINED,,,,,,,Logo Placement,Court Mode,,,,,,,
,logo_left_hip,Logo Placement - Left Hip - Court Mode,Left Hip,Left Hip,,,,TRUE,30,1,#000000,,,,FALSE,,NO_DEFINED,,,,,,,Logo Placement,Court Mode,,,,,,,
,logo_left_hem,Logo Placement - Left Hem - Court Mode,Left Hem,Left Hem,,,,TRUE,40,1,#000000,,,,FALSE,,NO_DEFINED,,,,,,,Logo Placement,Court Mode,,,,,,,
,logo_right_hip,Logo Placement - Right Hip - Court Mode,Right Hip,Right Hip,,,,TRUE,50,1,#000000,,,,FALSE,,NO_DEFINED,,,,,,,Logo Placement,Court Mode,,,,,,,
,logo_right_hem,Logo Placement - Right Hem - Court Mode,Right Hem,Right Hem,,,,TRUE,60,1,#000000,,,,FALSE,,NO_DEFINED,,,,,,,Logo Placement,Court Mode,,,,,,,
,upper_front,P13N Location - Upper Front - Court Mode,Upper Front,Upper Front,,,,TRUE,10,1,#000000,"conflict_name:upper_front,conflicts_with:upper_front",,,FALSE,,NO_DEFINED,,,,,,,P13N Location,Court Mode,,,,Front,upper_front,,
,lower_front,P13N Location - Lower Front - Court Mode,Lower Front,Lower Front,,,,TRUE,20,1,#000000,"conflicts_with:lower_front,conflict_name:lower_front",,,FALSE,,NO_DEFINED,,,,,,,P13N Location,Court Mode,,,,Front,lower_front,,
,upper_back,P13N Location - Upper Back - Court Mode,Upper Back,Upper Back,,,,TRUE,30,1,#000000,"conflicts_with:upper_back,conflict_name:upper_back",,,FALSE,,NO_DEFINED,,,,,,,P13N Location,Court Mode,,,,Back,upper_back,,
,lower_back,P13N Location - Lower Back - Court Mode,Lower Back,Lower Back,,,,TRUE,40,1,#000000,"conflicts_with:lower_back,conflict_name:lower_back",,,FALSE,,NO_DEFINED,,,,,,,P13N Location,Court Mode,,,,Back,lower_back,,
,lower_back_player,P13N Location - Lower Back Player - Court Mode,Lower Back,Lower Back,,,,TRUE,50,1,#000000,"conflicts_with:lower_back_player,conflict_name:lower_back_player",,,FALSE,,NO_DEFINED,,,,,,,P13N Location,Court Mode,,,,Back,lower_back_player,,
,front_body,P13N Location - Front Body - Court Mode,Front Body,Front Body,,,,TRUE,60,1,#000000,"conflicts_with:front_body,conflict_name:front_body",,,FALSE,,NO_DEFINED,,,,,,,P13N Location,Court Mode,,,,Front,front_body,,
,back_body,P13N Location - Back Body - Court Mode,Back Body,Back Body,,,,TRUE,70,1,#000000,"conflicts_with:back_body,conflict_name:back_body",,,FALSE,,NO_DEFINED,,,,,,,P13N Location,Court Mode,,,,Back,back_body,,
,right_chest,P13N Location - Right Chest - Court Mode,Right Chest,Right Chest,,,,TRUE,80,1,#000000,"conflicts_with:right_chest,conflict_name:right_chest",,,FALSE,,NO_DEFINED,,,,,,,P13N Location,Court Mode,,,,Front,right_chest,,
,top_back,P13N Location - Top Back - Court Mode,Top Back,Top Back,,,,TRUE,90,1,#000000,"conflicts_with:top_back,conflict_name:top_back",,,FALSE,,NO_DEFINED,,,,,,,P13N Location,Court Mode,,,,Back,top_back,,
,right_leg,P13N Location - Right Leg - Court Mode,Right Leg,Right Leg,,,,TRUE,100,1,#000000,"conflict_name:right_leg,conflicts_with:right_leg",,,FALSE,,NO_DEFINED,,,,,,,P13N Location,Court Mode,,,,Front,right_leg,,
,3.8_cm,P13N Size - 3.8 cm - Court Mode,3.8 cm,3.8 cm,,,,TRUE,10,1,#000000,"font_size:3.8,height_cm:3.8,height_px:114",,,FALSE,,NO_DEFINED,,,,,,,P13N Size,Court Mode,,,,,,3.8_cm,
,6.4_cm,P13N Size - 6.4 cm - Court Mode,6.4 cm,6.4 cm,,,,TRUE,20,1,#000000,"height_cm:6.4,height_px:192,font_size:6.4",,,FALSE,,NO_DEFINED,,,,,,,P13N Size,Court Mode,,,,,,6.4_cm,
,10.2_cm,P13N Size - 10.2 cm - Court Mode,10.2 cm,10.2 cm,,,,TRUE,30,1,#000000,"height_cm:10.2,height_px:306,font_size:10.2",,,FALSE,,NO_DEFINED,,,,,,,P13N Size,Court Mode,,,,,front_body,10.2_cm,
,15.2_cm,P13N Size - 15.2 cm - Court Mode,15.2 cm,15.2 cm,,,,TRUE,40,1,#000000,"font_size:15.2,height_cm:15.2,height_px:456",,,FALSE,,NO_DEFINED,,,,,,,P13N Size,Court Mode,,,,,back_body;front_body,15.2_cm,
,17.8_cm,P13N Size - 17.8 cm - Court Mode,17.8 cm,17.8 cm,,,,TRUE,50,1,#000000,"font_size:17.8,height_cm:17.8,height_px:534",,,FALSE,,NO_DEFINED,,,,,,,P13N Size,Court Mode,,,,,back_body,17.8_cm,
