unique_id,vendor_id,alias,label,tooltip,description,pricing_description,pricing,active,priority,opacity,rgb,metadata,clipart_image_url,production_image_url,define_color,rgb_swatch_color,define_swatch,swatch_key,facet_Application Type,facet_Arc Match,facet_Article Number Filter,facet_Color,facet_Color Group,facet_Component,facet_Configurator Family,facet_Graphic 1 White Bolean,facet_Graphic Color Count,facet_Graphic Placement,facet_Image View Name,facet_P13N Location,facet_P13N Size,price_USD
av251589,white,Color - White - Court Mode,White,White,,,,TRUE,10,1,#f1f1f1,,,,TRUE,#f1f1f1,RGB,,Embroidery;Sublimation;Heat Transfer,Color,,White,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251590,black,Color - Black - Court Mode,Black,Black,,,,TRUE,20,1,#000000,,,,TRUE,#000000,RGB,,Embroidery;Sublimation;Heat Transfer,Color,,Black,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251591,team_yellow,Color - Team Yellow - Court Mode,Team Yellow,Team Yellow,,,,TRUE,30,1,#e7cd00,,,,TRUE,#e7cd00,RGB,,Embroidery;Sublimation;Heat Transfer,Color,,Team Yellow,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251592,team_collegiate_gold_2,Color - Team Collegiate Gold 2 - Court Mode,Team Collegiate Gold 2,Team Collegiate Gold 2,,,,TRUE,40,1,#e9a321,,,,TRUE,#e9a321,RGB,,Embroidery,Color,,Team Collegiate Gold 2,FabricSubl;Logo,Color,Court Mode,,,,,,,
av251593,acid_yellow,Color - Acid Yellow - Court Mode,Acid Yellow,Acid Yellow,,,,TRUE,50,1,#dbdf3a,,,,TRUE,#dbdf3a,RGB,,Embroidery;Sublimation,Color,,Acid Yellow,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251594,team_power_red_2,Color - Team Power Red 2 - Court Mode,Team Power Red 2,Team Power Red 2,,,,TRUE,60,1,#83232f,,,,TRUE,#83232f,RGB,,Embroidery;Sublimation,Color,,Team Power Red 2,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251595,team_collegiate_red,Color - Team Collegiate Red - Court Mode,Team Collegiate Red,Team Collegiate Red,,,,TRUE,70,1,#9d2b36,,,,TRUE,#9d2b36,RGB,,Embroidery;Sublimation,Color,,Team Collegiate Red,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251596,collegiate_orange,Color - Collegiate Orange - Court Mode,Collegiate Orange,Collegiate Orange,,,,TRUE,80,1,#c4562c,,,,TRUE,#c4562c,RGB,,Embroidery;Sublimation,Color,,Collegiate Orange,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251597,team_collegiate_burgundy_2,Color - Team Collegiate Burgundy 2 - Court Mode,Team Collegiate Burgundy 2,Team Collegiate Burgundy 2,,,,TRUE,90,1,#541d2f,,,,TRUE,#541d2f,RGB,,Embroidery,Color,,Team Collegiate Burgundy 2,FabricSubl;Logo,Color,Court Mode,,,,,,,
av251598,team_maroon_2,Color - Team Maroon 2 - Court Mode,Team Maroon 2,Team Maroon 2,,,,TRUE,100,1,#3d2131,,,,TRUE,#3d2131,RGB,,Embroidery;Sublimation,Color,,Team Maroon 2,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251599,team_collegiate_purple,Color - Team Collegiate Purple - Court Mode,Team Collegiate Purple,Team Collegiate Purple,,,,TRUE,110,1,#332e65,,,,TRUE,#332e65,RGB,,Embroidery,Color,,Team Collegiate Purple,FabricSubl;Logo,Color,Court Mode,,,,,,,
av251600,active_purple,Color - Active Purple - Court Mode,Active Purple,Active Purple,,,,TRUE,120,1,#6a4889,,,,TRUE,#6a4889,RGB,,Embroidery;Sublimation,Color,,Active Purple,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251601,team_green,Color - Team Green - Court Mode,Team Green,Team Green,,,,TRUE,130,1,#3d7953,,,,TRUE,#3d7953,RGB,,Embroidery;Sublimation,Color,,Team Green,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251602,dark_green,Color - Dark Green - Court Mode,Dark Green,Dark Green,,,,TRUE,140,1,#324c40,,,,TRUE,#324c40,RGB,,Embroidery;Sublimation,Color,,Dark Green,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
